Name	On3 Rating	247 Rating	ESPN Rating	Rivals Rating	Position	City	State	Commit Status	Commit Team
Jordan Anderson	[91]	[91]	[82]	[5.9]	WR	Newport Beach	CA	True	Oregon Ducks	
Zay Mincey	[94]	[93]	[84]	[5.6]	S	Daytona Beach	FL	False	False	
Tylen Singleton	[90]	[92]	[83]	[5.9]	LB	Many	LA	False	False	
Andrew Sprague	[92]	[92]	[82]	[5.8]	OT	Kansas City	MO	True	Michigan Wolverines	
Garrett Stover	[92]	[92]	[83]	[5.8]	LB	Sunbury	OH	True	Ohio State Buckeyes	
Brian Robinson	[91]	[90]	[84]	[5.9]	EDGE	Austintown	OH	False	False	
Ricardo Jones	[91]	[91]	[82]	[5.9]	S	Warner Robins	GA	True	Clemson Tigers	
Michael Uini	[92]	[91]	[84]	[5.8]	OT	Copperas Cove	TX	True	Georgia Bulldogs	
Kaleb Beasley	[92]	[92]	[82]	[5.8]	CB	Nashville	TN	True	Tennessee Volunteers	
Braylon Staley	[92]	[92]	[81]	[5.8]	WR	Aiken	SC	True	Tennessee Volunteers	
Wendell Gregory	[94]	[90]	[84]	[5.8]	LB	Marietta	GA	True	South Carolina Gamecocks	
Bennett Warren	[90]	[93]	[84]	[5.8]	OT	Sugar Land	TX	False	False	
Fox Crader	[93]	[91]	[81]	[5.8]	OT	Vancouver	WA	True	Oregon Ducks	
Dashawn McBryde	[91]	[93]	[83]	[5.7]	S	Denham Springs	LA	True	Lsu Tigers	
Ryan Puglisi	[93]	[90]	[85]	[5.8]	QB	Avon	CT	True	Georgia Bulldogs	
Dylan Williams	[91]	[90]	[81]	[6.0]	LB	Long Beach	CA	False	False	
Loghan Thomas	[93]	[90]	[81]	[5.8]	EDGE	Katy	TX	True	Notre Dame Fighting Irish	
Nyier Daniels	[92]	[92]	[82]	[5.7]	OT	Oradell	NJ	False	False	
Jimothy Lewis	[91]	[93]	[81]	[5.8]	IOL	Madison	MS	True	Mississippi State Bulldogs	
Sterling Dixon	[93]	[90]	[81]	[5.8]	LB	Mobile	AL	True	Alabama Crimson Tide	
Blake Frazier	[91]	[90]	[81]	[5.9]	OT	Austin	TX	True	Michigan Wolverines	
Brandon Jacob	[92]	[91]	[83]	[5.8]	S	Orlando	FL	False	False	
Tae Johnson	[90]	[91]	[81]	[5.9]	ATH	Fort Wayne	IN	True	Notre Dame Fighting Irish	
Artavius Jones	[91]	[92]	[84]	[5.7]	DL	Blountstown	FL	False	False	
Hogan Hansen	[91]	[92]	[81]	[5.8]	TE	Bellevue	WA	True	Michigan Wolverines	
Darien Mayo	[93]	[89]	[80]	[5.9]	EDGE	Olney	MD	True	Clemson Tigers	
Chauncey Bowens	[93]	[88]	[83]	[5.9]	RB	North Palm Beach	FL	True	Georgia Bulldogs	
Danny Okoye	[94]	[89]	[83]	[5.8]	EDGE	Tulsa	OK	False	False	
Booker Pickett	[92]	[90]	[82]	[5.8]	EDGE	Tampa	FL	False	False	
Kedren Young	[93]	[90]	[82]	[5.8]	RB	Lufkin	TX	True	Notre Dame Fighting Irish	
Cayden Jones	[91]	[91]	[85]	[5.8]	LB	Arden	NC	True	Alabama Crimson Tide	
Jalyn Crawford	[90]	[91]	[82]	[5.9]	CB	Lilburn	GA	False	False	
Ellis Davis	[94]	[90]	[80]	[5.7]	OT	Prosper	TX	True	Texas Tech Red Raiders	
Micahi Danzy	[92]	[91]	[82]	[5.7]	ATH	Tallahassee	FL	False	False	
Jon Mitchell	[93]	[90]	[83]	[5.7]	CB	Jacksonville	FL	True	Penn State Nittany Lions	
Jaydan Hardy	[89]	[92]	[83]	[5.9]	S	Lewisville	TX	True	Oklahoma Sooners	
Gabriel Williams	[93]	[90]	[80]	[5.8]	LB	Washington	DC	True	Virginia Tech Hokies	
Cheta Ofili	[92]	[91]	[82]	[5.7]	EDGE	Sachse	TX	True	Texas Tech Red Raiders	
Jameer Grimsley	[93]	[90]	[81]	[5.7]	CB	Tampa	FL	True	Alabama Crimson Tide	
Jordan Lyle	[94]	[88]	[79]	[5.9]	RB	Fort Lauderdale	FL	True	Ohio State Buckeyes	
Amaris Williams	[88]	[93]	[81]	[5.9]	DL	Clinton	NC	True	Florida Gators	
Jeffery Rush	[89]	[94]	[83]	[5.8]	DL	Pascagoula	MS	True	Ole Miss Rebels	
Dilin Jones	[90]	[92]	[83]	[5.8]	RB	Olney	MD	False	False	
Mazeo Bennett	[92]	[90]	[82]	[5.8]	WR	Greenville	SC	True	South Carolina Gamecocks	
Jordon Johnson-Rubell	[89]	[91]	[84]	[5.9]	S	Fort Worth	TX	True	Texas Longhorns	
Keylen Adams	[92]	[90]	[82]	[5.8]	WR	Virginia Beach	VA	False	False	
Jonathan Paylor	[90]	[90]	[84]	[5.9]	WR	Burlington	NC	False	False	
Jac'Qawn McRoy	[89]	[94]	[85]	[5.7]	OT	Pinson	AL	True	Oregon Ducks	
Peyton Lewis	[91]	[91]	[83]	[5.8]	RB	Salem	VA	True	Tennessee Volunteers	
Zion Ragins	[92]	[90]	[82]	[5.8]	WR	Gray	GA	False	False	
Freddie Dubose Jr.	[92]	[90]	[82]	[5.8]	WR	Schertz	TX	True	Texas Longhorns	
Hevin Brown-Shuler	[90]	[90]	[81]	[5.9]	DL	Atlanta	GA	True	Clemson Tigers	
Boo Carter	[90]	[89]	[81]	[6.0]	ATH	Chattanooga	TN	True	Tennessee Volunteers	
Courtney Crutchfield	[89]	[94]	[81]	[5.8]	ATH	Pine Bluff	AR	True	Arkansas Razorbacks	
Travaris Banks	[91]	[89]	[83]	[5.9]	S	Tuscaloosa	AL	True	Ole Miss Rebels	
Jelani Watkins	[90]	[92]	[84]	[5.8]	WR	Houston	TX	False	False	
Max Anderson	[91]	[90]	[82]	[5.8]	IOL	Frisco	TX	True	Tennessee Volunteers	
Daniel Cruz	[92]	[89]	[80]	[5.9]	IOL	North Richland Hills	TX	True	Texas Longhorns	
Daniel Hill	[91]	[90]	[82]	[5.8]	ATH	Meridian	MS	False	False	
CJ Jackson	[93]	[89]	[81]	[5.8]	EDGE	Tucker	GA	True	Georgia Tech Yellow Jackets	
Dylan Stephenson	[91]	[89]	[82]	[5.9]	EDGE	Miami	FL	True	Stanford Cardinal	
Kelvin Hunter	[91]	[91]	[82]	[5.7]	S	Florence	SC	True	South Carolina Gamecocks	
Michael Van Buren	[90]	[89]	[88]	[5.9]	QB	Bowie	MD	True	Oregon Ducks	
Kwazi Gilmer	[92]	[89]	[79]	[5.9]	WR	West Hills	CA	False	False	
Zina Umeozulu	[91]	[90]	[86]	[5.8]	EDGE	Allen	TX	False	False	
J'Marion Burnette	[90]	[90]	[81]	[5.9]	RB	Andalusia	AL	True	Auburn Tigers	
Frankie Arthur	[91]	[92]	[79]	[5.7]	RB	Conroe	TX	False	False	
William Satterwhite	[90]	[90]	[82]	[5.9]	IOL	Akron	OH	False	False	
Jacob Oden	[91]	[90]	[81]	[5.8]	S	Harper Woods	MI	True	Michigan Wolverines	
KingJoseph Edwards	[91]	[90]	[85]	[5.8]	EDGE	Hoschton	GA	False	False	
Donovan Harbour	[90]	[90]	[85]	[5.8]	IOL	Waukesha	WI	True	Penn State Nittany Lions	
Mason Curtis	[92]	[90]	[81]	[5.8]	LB	Nashville	TN	True	Michigan Wolverines	
Braylon Burnside	[91]	[90]	[82]	[5.8]	WR	Starkville	MS	True	Mississippi State Bulldogs	
Ivan Carreon	[91]	[90]	[81]	[5.8]	WR	Odessa	TX	True	Oklahoma Sooners	
Isaiah Garcia	[91]	[90]	[83]	[5.7]	IOL	Draper	UT	False	False	
Ondre Evans	[93]	[88]	[82]	[5.8]	CB	Nashville	TN	True	Lsu Tigers	
Brayden Platt	[89]	[93]	[82]	[5.7]	LB	Yelm	WA	False	False	
Micah Gilbert	[91]	[90]	[81]	[5.8]	WR	Charlotte	NC	True	Notre Dame Fighting Irish	
Luke Reynolds	[87]	[95]	[81]	[5.8]	TE	Westford	MA	True	Penn State Nittany Lions	
Aneyas Williams	[90]	[90]	[80]	[5.9]	RB	Hannibal	MO	True	Notre Dame Fighting Irish	
Kylan Fox	[89]	[92]	[82]	[5.8]	TE	Loganville	GA	True	Ucf Knights	
Xadavien Sims	[88]	[91]	[81]	[5.9]	DL	Durant	OK	True	Oregon Ducks	
Marquis Gallegos	[92]	[90]	[82]	[5.7]	S	West Hills	CA	True	Usc Trojans	
Kolaj Cobbins	[89]	[90]	[82]	[5.9]	LB	Destrehan	LA	True	Lsu Tigers	
