2023-7-10 2023-7-11 2023-7-12 2023-7-13 2023-7-14 2023-7-15 2023-7-16 2023-7-18
BJ Canady	['88', '88', '88', '88', '88', '88', '88', '88']	['88', '88', '88', '88', '88', '88', '88', '88']	['-', '-', '-', '-', '-', '-', '-', '-']	['5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7']	DL	Topeka	KS	False	False	
BJ Gibson	['89', '89', '89', '89', '89', '89', '89', '89']	['89', '89', '89', '89', '89', '89', '89', '89']	['80', '80', '80', '80', '80', '80', '80', '80']	['5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8']	WR	Rochelle	GA	True	Florida State Seminoles	
Barry Walker	['86', '86', '86', '86', '86', '86', '86', '86']	['89', '89', '89', '89', '89', '89', '89', '89']	['79', '79', '79', '79', '79', '79', '79', '79']	['5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7']	OT	Cordele	GA	False	False	
Ben Grice	['86', '86', '86', '86', '86', '86', '86', '86']	['87', '87', '87', '87', '87', '87', '87', '87']	['77', '77', '77', '77', '77', '77', '77', '77']	['5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7']	WR	College Park	GA	True	Wake Forest Demon Deacons	
Ben Roebuck	['87', '87', '87', '87', '87', '87', '87', '87']	['89', '89', '89', '89', '89', '89', '89', '89']	['79', '79', '79', '79', '79', '79', '79', '79']	['5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8']	OT	Lakewood	OH	True	Michigan Wolverines	
Benedict Umeh	['95', '95', '95', '95', '95', '95', '95', '95']	['91', '91', '91', '91', '91', '91', '91', '91']	['84', '84', '84', '84', '84', '84', '84', '84']	['5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9']	DL	Toronto	ON	True	Stanford Cardinal	
Benjamin Blackburn	['-', '-', '-', '-', '-', '-', '-', '-']	['-', '-', '-', '-', '-', '-', '-', '85']	['-', '-', '-', '-', '-', '-', '-', '78']	['-', '-', '-', '-', '-', '-', '-', '5.7']	TE	Miami	FL	True	Boston College Eagles	
Benjamin York	['88', '88', '88', '88', '88', '88', '88', '88']	['86', '86', '86', '86', '86', '86', '86', '86']	['-', '-', '-', '-', '-', '-', '-', '-']	['5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6']	OT	Burke	VA	True	Virginia Cavaliers	
Bennett Warren	['90', '90', '90', '90', '90', '90', '90', '90']	['93', '93', '93', '93', '93', '93', '93', '93']	['84', '84', '84', '84', '84', '84', '84', '84']	['5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8']	OT	Sugar Land	TX	False	False	
Bernard Causey	['87', '87', '87', '87', '87', '87', '87', '87']	['86', '86', '86', '86', '86', '86', '86', '86']	['76', '76', '76', '76', '76', '76', '76', '76']	['5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6']	CB	New Orleans	LA	True	Ole Miss Rebels	
Blake Barnett	['88', '88', '88', '88', '88', '88', '88', '88']	['86', '86', '86', '86', '86', '86', '86', '86']	['78', '78', '78', '78', '78', '78', '78', '78']	['5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6']	QB	Erie	CO	True	Kansas State Wildcats	
Blake Franks	['88', '88', '88', '88', '88', '88', '88', '88']	['88', '88', '88', '88', '88', '88', '88', '88']	['79', '79', '79', '79', '79', '79', '79', '79']	['5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8']	IOL	Greenville	SC	True	South Carolina Gamecocks	
Blake Frazier	['91', '91', '91', '91', '91', '91', '91', '91']	['90', '90', '90', '90', '90', '90', '90', '90']	['81', '81', '81', '81', '81', '81', '81', '81']	['5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9']	OT	Austin	TX	True	Michigan Wolverines	
Blake Ivy	['93', '93', '93', '93', '93', '93', '93', '93']	['92', '92', '92', '92', '92', '92', '92', '92']	['83', '83', '83', '83', '83', '83', '83', '83']	['5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8']	IOL	League City	TX	False	False	
Bo Tate	['-', '-', '-', '-', '86', '86', '86', '86']	['-', '-', '-', '-', '84', '84', '84', '84']	['-', '-', '-', '-', '77', '77', '77', '77']	['-', '-', '-', '-', '5.7', '5.7', '5.7', '5.7']	LB	Salt Lake City	UT	True	Baylor Bears	
Bobby Kennedy	['86', '86', '86', '86', '86', '86', '86', '86']	['88', '88', '88', '88', '88', '88', '88', '88']	['-', '-', '-', '-', '-', '-', '-', '-']	['5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6']	CB	New Orleans	LA	False	False	
Bodey McCaslin	['89', '89', '89', '89', '89', '89', '89', '89']	['88', '88', '88', '88', '88', '88', '88', '88']	['79', '79', '79', '79', '79', '79', '79', '79']	['5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6']	OT	Saint Charles	IL	True	Iowa Hawkeyes	
Bodie Kahoun	['89', '89', '89', '89', '89', '89', '89', '89']	['88', '88', '88', '88', '88', '88', '88', '88']	['78', '78', '78', '78', '78', '78', '78', '78']	['5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8']	LB	Roanoke	VA	True	Notre Dame Fighting Irish	
Boo Carter	['90', '90', '90', '90', '90', '90', '90', '90']	['89', '89', '89', '89', '89', '89', '89', '89']	['81', '81', '81', '81', '81', '81', '81', '81']	['6.0', '6.0', '6.0', '6.0', '6.0', '6.0', '6.0', '6.0']	ATH	Chattanooga	TN	True	Tennessee Volunteers	
Booker Pickett	['90', '90', '90', '90', '90', '90', '90', '90']	['90', '90', '90', '90', '90', '90', '90', '90']	['82', '82', '82', '82', '82', '82', '82', '82']	['5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8']	EDGE	Tampa	FL	False	False	
Bradley Shaw	['91', '91', '91', '91', '91', '91', '91', '91']	['94', '94', '94', '94', '94', '94', '94', '94']	['82', '82', '82', '82', '82', '82', '82', '82']	['5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8']	LB	Hoover	AL	False	False	
Bradley Smith	['85', '85', '85', '85', '85', '85', '85', '85']	['86', '86', '86', '86', '86', '86', '86', '86']	['79', '79', '79', '79', '79', '79', '79', '79']	['5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7']	IOL	Newnan	GA	True	Duke Blue Devils	
Brady Pretzlaff	['-', '-', '-', '-', '89', '89', '89', '89']	['-', '-', '-', '-', '86', '86', '86', '86']	['-', '-', '-', '-', '76', '76', '76', '76']	['-', '-', '-', '-', '5.6', '5.6', '5.6', '5.6']	LB	Gaylord	MI	True	Minnesota Golden Gophers	
Brady Prieskorn	['93', '93', '93', '93', '93', '93', '93', '93']	['92', '92', '92', '92', '92', '92', '92', '92']	['84', '84', '84', '84', '84', '84', '84', '84']	['5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9']	TE	Rochester	MI	True	Michigan Wolverines	
Brandon Baker	['95', '95', '95', '95', '95', '95', '95', '95']	['98', '98', '98', '98', '98', '98', '98', '98']	['86', '86', '86', '86', '86', '86', '86', '86']	['6.0', '6.0', '6.0', '6.0', '6.0', '6.0', '6.0', '6.0']	OT	Santa Ana	CA	False	False	
